PermissionAPI,PermissionName,AdminConsent,ConsentRisk,ConsentDisplayName,ConsentDescription,AdminConsentDisplayName,AdminConsentDescription,DelegatedPermissionId,ApplicationConsentDisplayName,ApplicationConsentDescription,ApplicationPermissionId
"Microsoft Graph","AgreementAcceptance.Read",true,,"Read your terms of use acceptance statuses","Allows the app to read your terms of use acceptance statuses.","Read user terms of use acceptance statuses","Allows the app to read terms of use acceptance statuses on behalf of the signed-in user.","0b7643bb-5336-476f-80b5-18fbfbc91806",,,
"Microsoft Graph","AgreementAcceptance.Read.All",true,,"Read all terms of use acceptance statuses","Allows the app to read terms of use acceptance statuses on your behalf.","Read terms of use acceptance statuses that user can access","Allows the app to read terms of use acceptance statuses on behalf of the signed-in user.","a66a5341-e66e-4897-9d52-c2df58c2bfb9","Read all terms of use acceptance statuses","Allows the app to read terms of use acceptance statuses, without a signed in user.","d8e4ec18-f6c0-4620-8122-c8b1f2bf400e"
"Microsoft Graph","Analytics.Read",false,,"Read your activity statistics","Allows the app to read your activity statistics, such as how much time you've spent on emails, in meetings, or in chat sessions.","Read user activity statistics","Allows the app to read the signed-in user's activity statistics, such as how much time the user has spent on emails, in meetings, or in chat sessions.","e03cf23f-8056-446a-8994-7d93dfc8b50e",,,
"Microsoft Graph","AppCatalog.Read.All",false,,"Read all app catalogs","Allows the app to read apps in the app catalogs.","Read all app catalogs","Allows the app to read the apps in the app catalogs.","88e58d74-d3df-44f3-ad47-e89edf4472e4","Read all app catalogs","Allows the app to read apps in the app catalogs without a signed-in user.","e12dae10-5a57-4817-b79d-dfbec5348930"
"Microsoft Graph","AppCatalog.ReadWrite.All",true,,"Read and write to all app catalogs","Allows the app to create, read, update, and delete apps in the app catalogs.","Read and write to all app catalogs","Allows the app to create, read, update, and delete apps in the app catalogs.","1ca167d5-1655-44a1-8adf-1414072e1ef9","Read and write to all app catalogs","Allows the app to create, read, update, and delete apps in the app catalogs without a signed-in user.","dc149144-f292-421e-b185-5953f2e98d7f"
"Microsoft Graph","AppCatalog.Submit",false,,"Submit application packages to your organization's catalog and cancel pending submissions","Allows the app to submit application packages to the catalog and cancel submissions that are pending review on your behalf.","Submit application packages to the catalog and cancel pending submissions","Allows the app to submit application packages to the catalog and cancel submissions that are pending review on behalf of the signed-in user.","3db89e36-7fa6-4012-b281-85f3d9d9fd2e",,,
"Microsoft Graph","AppRoleAssignment.ReadWrite.All",true,,"Manage app permission grants and app role assignments","Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, on your behalf.","Manage app permission grants and app role assignments","Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, on behalf of the signed-in user.","84bccea3-f856-4a8a-967b-dbe0a3d53a64","Manage app permission grants and app role assignments","Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, without a signed-in user.","06b708a9-e830-4db3-a914-8e69da51d44f"
"Microsoft Graph","Application.Read.All",true,,"Read applications","Allows the app to read applications and service principals on your behalf.","Read applications","Allows the app to read applications and service principals on behalf of the signed-in user.","c79f8feb-a9db-4090-85f9-90d820caa0eb","Read all applications","Allows the app to read all applications and service principals without a signed-in user.","9a5d68dd-52b0-4cc2-bd40-abcf44ac3a30"
"Microsoft Graph","Application.ReadWrite.All",true,,"Read and write applications","Allows the app to create, read, update and delete applications and service principals on your behalf. Does not allow management of consent grants.","Read and write all applications","Allows the app to create, read, update and delete applications and service principals on behalf of the signed-in user. Does not allow management of consent grants.","bdfbf15f-ee85-4955-8675-146e8e5296b5","Read and write all applications","Allows the app to create, read, update and delete applications and service principals without a signed-in user.  Does not allow management of consent grants.","1bfefb4e-e0b5-418b-a88f-73c46d2cc8e9"
"Microsoft Graph","Application.ReadWrite.OwnedBy",,,,,,,,"Manage apps that this app creates or owns","Allows the app to create other applications, and fully manage those applications (read, update, update application secrets and delete), without a signed-in user.  It cannot update any apps that it is not an owner of.","18a4783c-866b-4cc7-a460-3d5e5662c884"
"Microsoft Graph","Approval.Read.All",true,,"Read approvals","Allows the app to read approvals on your behalf.","Read approvals","Allows the app to read approvals on behalf of the signed-in user.","1196552e-b226-4363-b01e-b8901fe10a11",,,
"Microsoft Graph","Approval.ReadWrite.All",true,,"Read and write approvals","Allows the app to read and write approvals on your behalf.","Read and write approvals","Allows the app to read and write approvals on behalf of the signed-in user.","1d3d0bc7-4b3a-427a-ae9f-6de4e1edc95f",,,
"Microsoft Graph","AuditLog.Read.All",true,,"Read audit log data","Allows the app to read and query your audit log activities, on your behalf.","Read audit log data","Allows the app to read and query your audit log activities, on behalf of the signed-in user.","e4c9e354-4dc5-45b8-9e7c-e1393b0b1a20","Read all audit log data","Allows the app to read and query your audit log activities, without a signed-in user.","b0afded3-3588-46d8-8b3d-9842eff778da"
"Microsoft Graph","BitlockerKey.Read.All",true,,"Read your BitLocker keys","Allows the app to read BitLocker keys for your owned devices. Allows read of the recovery key.","Read BitLocker keys","Allows the app to read BitLocker keys on behalf of the signed-in user, for their owned devices. Allows read of the recovery key.","b27a61ec-b99c-4d6a-b126-c4375d08ae30","Read all BitLocker keys","Allows an app to read BitLocker keys for all devices, without a signed-in user. Allows read of the recovery key.","57f1cf28-c0c4-4ec3-9a30-19a2eaaf2f6e"
"Microsoft Graph","BitlockerKey.ReadBasic.All",true,,"Read your BitLocker keys basic information","Allows the app to read basic BitLocker key properties for your owned devices. Does not allow read of the recovery key itself.","Read BitLocker keys basic information","Allows the app to read basic BitLocker key properties on behalf of the signed-in user, for their owned devices. Does not allow read of the recovery key itself.","5a107bfc-4f00-4e1a-b67e-66451267bc68","Read all BitLocker keys basic information","Allows an app to read basic BitLocker key properties for all devices, without a signed-in user. Does not allow read of the recovery key.","f690d423-6b29-4d04-98c6-694c42282419"
"Microsoft Graph","Bookings.Manage.All",false,,"Manage bookings information","Allows an app to read, write and manage bookings appointments, businesses, customers, services, and staff on your behalf.","Manage bookings information","Allows an app to read, write and manage bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user.","7f36b48e-542f-4d3b-9bcb-8406f0ab9fdb",,,
"Microsoft Graph","Bookings.Read.All",false,,"Read bookings information","Allows an app to read bookings appointments, businesses, customers, services, and staff on your behalf.","Read bookings information","Allows an app to read bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user.","33b1df99-4b29-4548-9339-7a7b83eaeebc",,,
"Microsoft Graph","Bookings.ReadWrite.All",false,,"Read and write bookings information","Allows an app to read and write Bookings appointments, businesses, customers, services, and staff on your behalf. Does not allow create, delete and publish of booking businesses.","Read and write bookings information","Allows an app to read and write bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user. Does not allow create, delete and publish of booking businesses.","948eb538-f19d-4ec5-9ccc-f059e1ea4c72",,,
"Microsoft Graph","BookingsAppointment.ReadWrite.All",false,,"Read and write booking appointments","Allows an app to read and write bookings appointments and customers, and additionally allows read businesses information, services, and staff on your behalf.","Read and write booking appointments","Allows an app to read and write bookings appointments and customers, and additionally allows read businesses information, services, and staff on behalf of the signed-in user.","02a5a114-36a6-46ff-a102-954d89d9ab02",,,
"Microsoft Graph","Calendars.Read",false,,"Read your calendars ","Allows the app to read events in your calendars. ","Read user calendars ","Allows the app to read events in user calendars . ","465a38f9-76ea-45b9-9f34-9e8b0d4b0b42","Read calendars in all mailboxes","Allows the app to read events of all calendars without a signed-in user.","798ee544-9d2d-430c-a058-570e29e34338"
"Microsoft Graph","Calendars.Read.Shared",false,,"Read calendars you can access","Allows the app to read events in all calendars that you can access, including delegate and shared calendars. ","Read user and shared calendars","Allows the app to read events in all calendars that the user can access, including delegate and shared calendars.","2b9c4092-424d-4249-948d-b43879977640",,,
"Microsoft Graph","Calendars.ReadWrite",false,,"Have full access to your calendars  ","Allows the app to read, update, create and delete events in your calendars. ","Have full access to user calendars ","Allows the app to create, read, update, and delete events in user calendars. ","1ec239c2-d7c9-4623-a91a-a9775856bb36","Read and write calendars in all mailboxes","Allows the app to create, read, update, and delete events of all calendars without a signed-in user.","ef54d2bf-783f-4e0f-bca1-3210c0444d99"
"Microsoft Graph","Calendars.ReadWrite.Shared",false,,"Read and write to your and shared calendars","Allows the app to read, update, create and delete events in all calendars in your organization you have permissions to access. This includes delegate and shared calendars.","Read and write user and shared calendars","Allows the app to create, read, update and delete events in all calendars in the organization user has permissions to access. This includes delegate and shared calendars.","12466101-c9b8-439a-8589-dd09ee67e8e9",,,
"Microsoft Graph","CallRecord-PstnCalls.Read.All",,,,,,,,"Read PSTN and direct routing call log data","Allows the app to read all PSTN and direct routing call log data without a signed-in user.","a2611786-80b3-417e-adaa-707d4261a5f0"
"Microsoft Graph","CallRecords.Read.All",,,,,,,,"Read all call records","Allows the app to read call records for all calls and online meetings without a signed-in user.","45bbb07e-7321-4fd7-a8f6-3ff27e6a81c8"
"Microsoft Graph","Calls.AccessMedia.All",,,,,,,,"Access media streams in a call as an app","Allows the app to get direct access to media streams in a call, without a signed-in user.","a7a681dc-756e-4909-b988-f160edc6655f"
"Microsoft Graph","Calls.Initiate.All",,,,,,,,"Initiate outgoing 1 to 1 calls from the app","Allows the app to place outbound calls to a single user and transfer calls to users in your organization’s directory, without a signed-in user.","284383ee-7f6e-4e40-a2a8-e85dcb029101"
"Microsoft Graph","Calls.InitiateGroupCall.All",,,,,,,,"Initiate outgoing group calls from the app","Allows the app to place outbound calls to multiple users and add participants to meetings in your organization, without a signed-in user.","4c277553-8a09-487b-8023-29ee378d8324"
"Microsoft Graph","Calls.JoinGroupCall.All",,,,,,,,"Join group calls and meetings as an app","Allows the app to join group calls and scheduled meetings in your organization, without a signed-in user.  The app will be joined with the privileges of a directory user to meetings in your organization.","f6b49018-60ab-4f81-83bd-22caeabfed2d"
"Microsoft Graph","Calls.JoinGroupCallAsGuest.All",,,,,,,,"Join group calls and meetings as a guest","Allows the app to anonymously join group calls and scheduled meetings in your organization, without a signed-in user.  The app will be joined as a guest to meetings in your organization.","fd7ccf6b-3d28-418b-9701-cd10f5cd2fd4"
"Microsoft Graph","Channel.Create",true,,"Create channels","Create channels in any team, on your behalf.","Create channels","Create channels in any team, on behalf of the signed-in user.","101147cf-4178-4455-9d58-02b5c164e759","Create channels","Create channels in any team, without a signed-in user.","f3a65bd4-b703-46df-8f7e-0174fea562aa"
"Microsoft Graph","Channel.Delete.All",true,,"Delete channels","Delete channels in any team, on your behalf.","Delete channels","Delete channels in any team, on behalf of the signed-in user.","cc83893a-e232-4723-b5af-bd0b01bcfe65","Delete channels","Delete channels in any team, without a signed-in user.","6a118a39-1227-45d4-af0c-ea7b40d210bc"
"Microsoft Graph","Channel.ReadBasic.All",false,,"Read the names and descriptions of channels","Read channel names and channel descriptions, on your behalf.","Read the names and descriptions of channels","Read channel names and channel descriptions, on behalf of the signed-in user.","9d8982ae-4365-4f57-95e9-d6032a4c0b87","Read the names and descriptions  of all channels","Read all channel names and channel descriptions, without a signed-in user.","59a6b24b-4225-4393-8165-ebaec5f55d7a"
"Microsoft Graph","ChannelMember.Read.All",true,,"Read the members of teams and channels","Read the members of channels, on your behalf.","Read the members of channels","Read the members of channels, on behalf of the signed-in user.","2eadaff8-0bce-4198-a6b9-2cfc35a30075","Read the members of all channels","Read the members of all channels, without a signed-in user.","3b55498e-47ec-484f-8136-9013221c06a9"
"Microsoft Graph","ChannelMember.ReadWrite.All",true,,"Add and remove members from teams and channels","Add and remove members from channels, on your behalf. Also allows changing a member's role, for example from owner to non-owner.","Add and remove members from channels","Add and remove members from channels, on behalf of the signed-in user. Also allows changing a member's role, for example from owner to non-owner.","0c3e411a-ce45-4cd1-8f30-f99a3efa7b11","Add and remove members from all channels","Add and remove members from all channels, without a signed-in user. Also allows changing a member's role, for example from owner to non-owner.","35930dcf-aceb-4bd1-b99a-8ffed403c974"
"Microsoft Graph","ChannelMessage.Delete",false,,,,"Delete user's channel messages","Allows an app to delete channel messages in Microsoft Teams, on behalf of the signed-in user.","32ea53ac-4a89-4cde-bac4-727c6fb9ac29",,,
"Microsoft Graph","ChannelMessage.Edit",false,,"Edit your channel messages","Allows the app to edit channel messages in Microsoft Teams, on your behalf.","Edit user's channel messages","Allows an app to edit channel messages in Microsoft Teams, on behalf of the signed-in user.","2b61aa8a-6d36-4b2f-ac7b-f29867937c53",,,
"Microsoft Graph","ChannelMessage.Read.All",true,,"Read your channel messages","Allows the app to read a channel's messages in Microsoft Teams, on your behalf.","Read user channel messages","Allows an app to read a channel's messages in Microsoft Teams, on behalf of the signed-in user.","767156cb-16ae-4d10-8f8b-41b657c8c8c8","Read all channel messages","Allows the app to read all channel messages in Microsoft Teams","7b2449af-6ccd-4f4d-9f78-e550c193f0d1"
"Microsoft Graph","ChannelMessage.Send",false,,"Send channel messages","Allows the app to send channel messages in Microsoft Teams, on your behalf.","Send channel messages","Allows an app to send channel messages in Microsoft Teams, on behalf of the signed-in user.","ebf0f66e-9fb1-49e4-a278-222f76911cf4",,,
"Microsoft Graph","ChannelMessage.UpdatePolicyViolation.All",,,,,,,,"Flag channel messages for violating policy","Allows the app to update Microsoft Teams channel messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing.","4d02b0cc-d90b-441f-8d82-4fb55c34d6bb"
"Microsoft Graph","ChannelSettings.Read.All",true,,"Read the names, descriptions, and settings of channels","Read all channel names, channel descriptions, and channel settings, on your behalf.","Read the names, descriptions, and settings of channels","Read all channel names, channel descriptions, and channel settings, on behalf of the signed-in user.","233e0cf1-dd62-48bc-b65b-b38fe87fcf8e","Read the names, descriptions, and settings of all channels","Read all channel names, channel descriptions, and channel settings, without a signed-in user.","c97b873f-f59f-49aa-8a0e-52b32d762124"
"Microsoft Graph","ChannelSettings.ReadWrite.All",true,,"Read and write the names, descriptions, and settings of channels","Read and write the names, descriptions, and settings of all channels, on your behalf.","Read and write the names, descriptions, and settings of channels","Read and write the names, descriptions, and settings of all channels, on behalf of the signed-in user.","d649fb7c-72b4-4eec-b2b4-b15acf79e378","Read and write the names, descriptions, and settings of all channels","Read and write the names, descriptions, and settings of all channels, without a signed-in user.","243cded2-bd16-4fd6-a953-ff8177894c3d"
"Microsoft Graph","Chat.Create",false,,"Create chats","Allows the app to create chats on your behalf. ","Create chats","Allows the app to create chats on behalf of the signed-in user.","38826093-1258-4dea-98f0-00003be2b8d0","Create chats","Allows the app to create chats without a signed-in user. ","d9c48af6-9ad9-47ad-82c3-63757137b9af"
"Microsoft Graph","Chat.Read",false,,"Read your chat messages","Allows an app to read your 1 on 1 or group chat messages in Microsoft Teams, on your behalf.","Read user chat messages","Allows an app to read 1 on 1 or group chats threads, on behalf of the signed-in user.","f501c180-9344-439a-bca0-6cbf209fd270",,,
"Microsoft Graph","Chat.Read.All",,,,,,,,"Read all chat messages","Allows the app to read all 1-to-1 or group chat messages in Microsoft Teams.","6b7d71aa-70aa-4810-a8d9-5d9fb2830017"
"Microsoft Graph","Chat.ReadBasic",false,,"Read names and members of your chat threads","Allows an app to read the members and descriptions of one-to-one and group chat threads, on your behalf.","Read names and members of user chat threads","Allows an app to read the members and descriptions of one-to-one and group chat threads, on behalf of the signed-in user.","9547fcb5-d03f-419d-9948-5928bbf71b0f",,,
"Microsoft Graph","Chat.ReadBasic.All",,,,,,,,"Read names and members of all chat threads","Read names and members of all one-to-one and group chats in Microsoft Teams, without a signed-in user.","b2e060da-3baf-4687-9611-f4ebc0f0cbde"
"Microsoft Graph","Chat.ReadWrite",false,,"Read and write your chat messages","Allows an app to read and write your 1 on 1 or group chat messages in Microsoft Teams, on your behalf.","Read and write user chat messages","Allows an app to read and write 1 on 1 or group chats threads, on behalf of the signed-in user.","9ff7295e-131b-4d94-90e1-69fde507ac11",,,
"Microsoft Graph","Chat.ReadWrite.All",,,,,,,,"Read and write all chat messages","Allows an app to read and write all chat messages in Microsoft Teams, without a signed-in user.","294ce7c9-31ba-490a-ad7d-97a7d075e4ed"
"Microsoft Graph","Chat.UpdatePolicyViolation.All",,,,,,,,"Flag chat messages for violating policy","Allows the app to update Microsoft Teams 1-to-1 or group chat messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing.","7e847308-e030-4183-9899-5235d7270f58"
"Microsoft Graph","ChatMember.Read",true,,"Read the members of chats","Read the members of chats, on your behalf.","Read the members of chats","Read the members of chats, on behalf of the signed-in user.","c5a9e2b1-faf6-41d4-8875-d381aa549b24",,,
"Microsoft Graph","ChatMember.Read.All",,,,,,,,"Read the members of all chats","Read the members of all chats, without a signed-in user.","a3410be2-8e48-4f32-8454-c29a7465209d"
"Microsoft Graph","ChatMember.ReadWrite",true,,"Add and remove members from chats","Add and remove members from chats, on your behalf.","Add and remove members from chats","Add and remove members from chats, on behalf of the signed-in user.","dea13482-7ea6-488f-8b98-eb5bbecf033d",,,
"Microsoft Graph","ChatMember.ReadWrite.All",,,,,,,,"Add and remove members from all chats","Add and remove members from all chats, without a signed-in user.","57257249-34ce-4810-a8a2-a03adf0c5693"
"Microsoft Graph","ChatMessage.Read",false,,"Read user chat messages","Allows an app to read one-to-one or group chat messages in Microsoft Teams, on your behalf.","Read user chat messages","Allows an app to read one-to-one and group chat messages, on behalf of the signed-in user.","cdcdac3a-fd45-410d-83ef-554db620e5c7",,,
"Microsoft Graph","ChatMessage.Read.All",,,,,,,,"Read all chat messages","Allows the app to read all one-to-one and group chats messages in Microsoft Teams, without a signed-in user.","b9bb2381-47a4-46cd-aafb-00cb12f68504"
"Microsoft Graph","ChatMessage.Send",false,,"Send chat messages","Allows an app to send one-to-one and group chat messages in Microsoft Teams, on your behalf.","Send user chat messages","Allows an app to send one-to-one and group chat messages in Microsoft Teams, on behalf of the signed-in user.","116b7235-7cc6-461e-b163-8e55691d839e",,,
"Microsoft Graph","CloudPC.Read.All",false,,"Read Cloud PCs","Allows the app to read the properties of Cloud PCs, on your behalf.","Read Cloud PCs","Allows the app to read the properties of Cloud PCs on behalf of the signed-in user.","5252ec4e-fd40-4d92-8c68-89dd1d3c6110","Read Cloud PCs","Allows the app to read the properties of Cloud PCs, without a signed-in user.","a9e09520-8ed4-4cde-838e-4fdea192c227"
"Microsoft Graph","CloudPC.ReadWrite.All",true,,"Read and write Cloud PCs","Allows the app to read and write the properties of Cloud PCs, on your behalf.","Read and write Cloud PCs","Allows the app to read and write the properties of Cloud PCs on behalf of the signed-in user.","9d77138f-f0e2-47ba-ab33-cd246c8b79d1","Read and write Cloud PCs","Allows the app to read and write the properties of Cloud PCs, without a signed-in user.","3b4349e1-8cf5-45a3-95b7-69d1751d3e6a"
"Microsoft Graph","ConsentRequest.Read.All",true,,"Read consent requests","Allows the app to read consent requests and approvals, on your behalf.","Read consent requests","Allows the app to read consent requests and approvals on behalf of the signed-in user.","f3bfad56-966e-4590-a536-82ecf548ac1e","Read all consent requests","Allows the app to read consent requests and approvals without a signed-in user.","1260ad83-98fb-4785-abbb-d6cc1806fd41"
"Microsoft Graph","ConsentRequest.ReadWrite.All",true,,"Read and write consent requests","Allows the app to read app consent requests for your approval, and deny or approve those request on your behalf.","Read and write consent requests","Allows the app to read app consent requests and approvals, and deny or approve those requests on behalf of the signed-in user.","497d9dfa-3bd1-481a-baab-90895e54568c","Read and write all consent requests","Allows the app to read app consent requests and approvals, and deny or approve those requests without a signed-in user.","9f1b81a7-0223-4428-bfa4-0bcb5535f27d"
"Microsoft Graph","Contacts.Read",false,,"Read your contacts ","Allows the app to read contacts in your contact folders. ","Read user contacts ","Allows the app to read user contacts.  ","ff74d97f-43af-4b68-9f2a-b77ee6968c5d","Read contacts in all mailboxes","Allows the app to read all contacts in all mailboxes without a signed-in user.","089fe4d0-434a-44c5-8827-41ba8a0b17f5"
"Microsoft Graph","Contacts.Read.Shared",false,,"Read your and shared contacts","Allows the app to read contacts you have permissions to access, including your own and shared contacts.","Read user and shared contacts","Allows the app to read contacts a user has permissions to access, including their own and shared contacts.","242b9d9e-ed24-4d09-9a52-f43769beb9d4",,,
"Microsoft Graph","Contacts.ReadWrite",false,,"Have full access of your contacts ","Allows the app to read, update, create and delete contacts in your contact folders. ","Have full access to user contacts ","Allows the app to create, read, update, and delete user contacts. ","d56682ec-c09e-4743-aaf4-1a3aac4caa21","Read and write contacts in all mailboxes","Allows the app to create, read, update, and delete all contacts in all mailboxes without a signed-in user.","6918b873-d17a-4dc1-b314-35f528134491"
"Microsoft Graph","Contacts.ReadWrite.Shared",false,,"Read and write to your and shared contacts","Allows the app to read, update, create, and delete contacts you have permissions to access, including your own and shared contacts.","Read and write user and shared contacts","Allows the app to create, read, update, and delete contacts a user has permissions to, including their own and shared contacts.","afb6c84b-06be-49af-80bb-8f3f77004eab",,,
"Microsoft Graph","CrossTenantInformation.ReadBasic.All",true,,"Read cross-tenant basic information","Allows the application to obtain basic tenant information about another target tenant within the Azure AD ecosystem on your behalf.","Read cross-tenant basic information","Allows the application to obtain basic tenant information about another target tenant within the Azure AD ecosystem on behalf of the signed-in user.","81594d25-e88e-49cf-ac8c-fecbff49f994","Read cross-tenant basic information","Allows the application to obtain basic tenant information about another target tenant within the Azure AD ecosystem without a signed-in user.","cac88765-0581-4025-9725-5ebc13f729ee"
"Microsoft Graph","CrossTenantUserProfileSharing.Read",true,,"Read shared cross-tenant user profile and export data","Allows the application to list and query shared user profile information associated with the current tenant on your behalf.  It also permits the application to export your external user data (e.g. customer content or system-generated logs), associated with the current tenant on your behalf.","Read shared cross-tenant user profile and export data","Allows the application to list and query user profile information associated with the current tenant on behalf of the signed-in user.  It also permits the application to export external user data (e.g. customer content or system-generated logs), associated with the current tenant on behalf of the signed-in user.","cb1ba48f-d22b-4325-a07f-74135a62ee41",,,
"Microsoft Graph","CrossTenantUserProfileSharing.Read.All",true,,"Read any shared cross-tenant user profiles and export data","Allows the application to list and query any shared user profile information associated with the current tenant on your behalf.  It also permits the application to export external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant on your behalf.","Read all shared cross-tenant user profiles and export their data","Allows the application to list and query any shared user profile information associated with the current tenant on behalf of the signed-in user.  It also permits the application to export external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant on behalf of the signed-in user.","759dcd16-3c90-463c-937e-abf89f991c18","Read all shared cross-tenant user profiles and export their data","Allows the application to list and query any shared user profile information associated with the current tenant without a signed-in user.  It also permits the application to export external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant without a signed-in user.","8b919d44-6192-4f3d-8a3b-f86f8069ae3c"
"Microsoft Graph","CrossTenantUserProfileSharing.ReadWrite",true,,"Read shared cross-tenant user profile and export or delete data","Allows the application to list and query shared user profile information associated with the current tenant on your behalf.  It also permits the application to export and remove your external user data (e.g. customer content or system-generated logs), associated with the current tenant on your behalf.","Read shared cross-tenant user profile and export or delete data","Allows the application to list and query user profile information associated with the current tenant on behalf of the signed-in user.  It also permits the application to export and remove external user data (e.g. customer content or system-generated logs), associated with the current tenant on behalf of the signed-in user.","eed0129d-dc60-4f30-8641-daf337a39ffd",,,
